work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,Manager,150535,USD,150535,US,0,US,M
2024,SE,FT,Data Engineer,117000,USD,117000,US,100,US,M
2024,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
2023,MI,FT,Data Scientist,130410,USD,130410,US,0,US,M
2024,SE,FT,Software Engineer,144200,USD,144200,US,0,US,M
2024,SE,FT,Data Scientist,126900,USD,126900,US,0,US,M
2024,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,EN,FT,Data Analyst,71600,USD,71600,US,0,US,M
2024,SE,FT,Machine Learning Engineer,167200,USD,167200,US,0,US,M
2024,MI,FT,Data Engineer,163000,USD,163000,US,100,US,M
2023,MI,FT,Data Engineer,91000,USD,91000,US,0,US,M
2023,MI,FT,Data Analyst,60000,GBP,73824,GB,0,GB,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,L
2024,SE,FT,Data Scientist,252000,USD,252000,US,0,US,M
2024,SE,FT,Data Architect,101500,USD,101500,US,0,US,M
2024,MI,FT,Engineer,119000,USD,119000,US,100,US,M
2024,MI,FT,Data Engineer,45000,GBP,56250,GB,0,GB,M
2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Architect,259000,USD,259000,US,0,US,M
2024,SE,FT,Data Scientist,165100,USD,165100,US,0,US,M
2024,SE,FT,Machine Learning Engineer,230000,USD,230000,US,100,US,M
2023,MI,FT,Data Engineer,108000,USD,108000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,154500,USD,154500,US,0,US,M
2024,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2024,SE,FT,Engineer,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Architect,146408,USD,146408,CA,0,CA,M
2024,MI,FT,Data Engineer,105000,USD,105000,US,0,US,M
2024,MI,FT,Data Scientist,127000,USD,127000,US,0,US,M
2024,MI,FT,Analyst,137000,USD,137000,AT,0,AT,M
2024,SE,FT,Applied Scientist,120100,USD,120100,US,0,US,M
2024,EN,FT,Data Analyst,105000,USD,105000,US,0,US,M
2024,SE,FT,Analyst,156500,USD,156500,US,0,US,M
2023,MI,FT,Data Scientist,128750,USD,128750,US,0,US,M
2024,SE,FT,Applied Scientist,133600,USD,133600,US,0,US,M
2024,MI,FT,Analyst,60000,USD,60000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,173000,USD,173000,US,100,US,M
2024,MI,FT,Research Scientist,173000,USD,173000,US,0,US,M
2024,SE,FT,Software Engineer,410000,USD,410000,US,0,US,M
2024,SE,FT,Data Architect,135000,USD,135000,US,100,US,M
2024,SE,FT,Data Scientist,106605,USD,106605,US,0,US,M
2024,MI,FT,Manager,133900,USD,133900,US,0,US,M
2024,SE,FT,Technical Lead,226000,USD,226000,US,0,US,M
2024,EN,FT,Data Analyst,74300,USD,74300,US,0,US,M
2024,SE,FT,Machine Learning Engineer,130100,USD,130100,US,0,US,M
2024,SE,FT,Analyst,79700,USD,79700,US,0,US,M
2024,SE,FT,Machine Learning Engineer,145000,USD,145000,US,0,US,M
2024,SE,FT,Software Engineer,175000,USD,175000,US,100,US,M
2024,SE,FT,Data Engineer,149282,USD,149282,US,0,US,M
2024,SE,FT,Machine Learning Engineer,131500,USD,131500,US,0,US,M
2024,EX,FT,Data Engineer,253900,USD,253900,US,0,US,M
2024,MI,FT,Business Intelligence Developer,120500,USD,120500,US,0,US,M
2024,SE,FT,Product Manager,259600,USD,259600,US,0,US,M
2024,MI,FT,Research Scientist,161500,USD,161500,US,0,US,M
2024,SE,FT,Data Architect,146000,USD,146000,US,0,US,M
2024,SE,FT,Software Engineer,284000,USD,284000,US,0,US,M
2024,SE,FT,Data Scientist,88275,USD,88275,US,0,US,M
2023,MI,FT,Data Analyst,79000,USD,79000,US,0,US,M
2022,SE,FT,Analytics Engineer,231250,USD,231250,US,100,US,M
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
2024,SE,FT,Data Engineer,206800,USD,206800,US,100,US,M
2024,SE,FT,Machine Learning Engineer,359720,USD,359720,US,0,US,M
2022,SE,FT,Data Analyst,236600,USD,236600,US,100,US,M
2024,MI,FT,Data Scientist,184216,USD,184216,US,0,US,M
2024,SE,FT,Data Analyst,174400,USD,174400,US,100,US,M
2024,SE,FT,Data Analyst,112000,USD,112000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,187040,USD,187040,US,0,US,M
2024,MI,FT,Data Analytics Manager,155500,USD,155500,US,0,US,M
2024,SE,FT,Software Engineer,231000,USD,231000,US,0,US,M
2024,SE,FT,Applied Scientist,160000,USD,160000,US,100,US,M
2024,SE,FT,Software Engineer,212800,USD,212800,US,0,US,M
2024,SE,FT,Backend Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Applied Scientist,160000,USD,160000,US,100,US,M
2024,MI,FT,Software Engineer,100000,USD,100000,CA,0,CA,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2024,SE,FT,Data Scientist,176355,USD,176355,US,0,US,M
2024,SE,FT,Applied Scientist,220000,USD,220000,US,0,US,M
2024,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,MI,FT,Software Engineer,155000,USD,155000,US,0,US,M
2022,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
2024,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
2024,MI,FT,Manager,296500,USD,296500,US,0,US,M
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
2023,MI,FT,Data Analyst,125000,USD,125000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,216700,USD,216700,US,100,US,M
2023,MI,FT,Data Analyst,70000,USD,70000,US,0,US,M
2023,SE,FT,BI Analyst,135000,USD,135000,US,0,US,M
2024,EN,FT,Business Analyst,75000,USD,75000,US,0,US,M
2024,SE,FT,ML Infrastructure Engineer,150700,USD,150700,US,0,US,M
2024,MI,FT,Software Engineer,148000,USD,148000,US,0,US,M
2023,SE,FT,Data Analyst,189400,USD,189400,GB,0,GB,M
2024,SE,FT,Data Engineer,140000,USD,140000,CA,0,CA,M
2024,MI,FT,Manager,163300,USD,163300,US,0,US,M
2024,MI,FT,Data Analyst,42120,USD,42120,US,0,US,M
2024,MI,FT,Data Scientist,138000,USD,138000,US,0,US,M
2024,MI,FT,Software Engineer,208800,USD,208800,US,0,US,M
2023,SE,FT,Data Engineer,230000,USD,230000,US,0,US,M
2024,SE,FT,Software Engineer,225000,USD,225000,US,0,US,M
2024,SE,FT,Data Engineer,125000,USD,125000,US,0,US,M
2024,SE,FT,Data Engineer,122000,USD,122000,US,0,US,M
2024,SE,FT,Software Engineer,147200,USD,147200,US,0,US,M
2024,MI,FT,Data Engineer,183500,USD,183500,US,0,US,M
2024,MI,FT,AI Engineer,124000,USD,124000,US,100,US,M
2024,SE,FT,Engineer,148000,USD,148000,US,0,US,M
2024,MI,FT,Engineer,150400,USD,150400,US,0,US,M
2024,SE,FT,Machine Learning Scientist,200000,USD,200000,US,0,US,M
2024,MI,FT,Research Scientist,293000,USD,293000,US,0,US,M
2024,MI,FT,Data Scientist,73000,USD,73000,US,0,US,M
2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
2024,EN,FT,Data Analyst,92000,USD,92000,US,100,US,M
2024,SE,FT,Manager,180000,USD,180000,US,0,US,M
2024,MI,FT,Research Engineer,208000,USD,208000,US,0,US,M
2024,MI,FT,Machine Learning Researcher,238280,USD,238280,US,100,US,M
2024,SE,FT,Machine Learning Engineer,237500,USD,237500,US,0,US,M
2024,SE,FT,Software Engineer,253000,USD,253000,CA,0,CA,M
2022,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M
2024,MI,FT,Engineer,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
2024,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M
2024,MI,FT,Data Scientist,127600,USD,127600,US,0,US,M
2024,SE,FT,Engineer,160500,USD,160500,US,0,US,M
2024,SE,FT,Software Developer,128800,USD,128800,US,100,US,M
2024,MI,FT,AI Engineer,141200,USD,141200,US,0,US,M
2024,MI,FT,Machine Learning Engineer,185000,USD,185000,US,0,US,M
2024,SE,FT,Analytics Engineer,216000,USD,216000,US,0,US,M
2024,SE,FT,Data Scientist,137600,USD,137600,US,0,US,M
2023,SE,FT,Machine Learning Engineer,221000,USD,221000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2024,MI,FT,Data Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Analyst,122500,USD,122500,US,100,US,M
2023,MI,FT,Data Scientist,105000,USD,105000,US,0,US,M
2024,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M
2024,SE,FT,Data Analyst,56280,USD,56280,US,0,US,M
2023,SE,FT,Data Engineer,152000,USD,152000,US,0,US,M
2023,SE,FT,Data Engineer,107600,USD,107600,US,0,US,M
2024,SE,FT,Data Engineer,120633,USD,120633,US,0,US,M
2024,MI,FT,Data Manager,47760,USD,47760,US,0,US,M
2024,SE,FT,Data Modeler,265200,USD,265200,US,0,US,M
2024,MI,FT,Data Integration Specialist,115000,USD,115000,US,100,US,M
2024,EN,FT,Data Analyst,84100,USD,84100,US,0,US,L
2024,EN,FT,Data Analyst,40000,USD,40000,BR,0,BR,M
2024,EX,FT,AI Engineer,150000,USD,150000,US,0,US,M
2024,MI,FT,Data Engineer,114000,USD,114000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,164000,USD,164000,US,100,US,M
2024,EX,FT,Head of AI,195000,USD,195000,US,100,US,M
2024,SE,FT,Applied Scientist,229000,USD,229000,CA,100,CA,M
2024,MI,FT,Software Engineer,194000,USD,194000,US,0,US,M
2024,EX,FT,Solutions Engineer,149200,USD,149200,US,0,US,M
2024,SE,FT,Data Scientist,177000,USD,177000,US,0,US,M
2024,SE,FT,Analytics Engineer,130000,USD,130000,US,0,US,M
2024,SE,FT,Software Engineer,239000,USD,239000,US,0,US,M
2024,MI,FT,Data Engineer,102000,USD,102000,US,0,US,M
2023,MI,FT,Data Analyst,75000,GBP,92280,GB,0,GB,M
2024,SE,FT,Data Analyst,172000,USD,172000,US,100,US,M
2024,SE,FT,Data Scientist,138500,USD,138500,US,0,US,M
2024,SE,FT,Data Scientist,200000,USD,200000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,183800,USD,183800,US,100,US,M
2024,MI,FT,Data Engineer,108000,USD,108000,US,0,US,M
2023,SE,FT,Business Intelligence Analyst,110200,USD,110200,US,0,US,M
2024,MI,FT,Research Scientist,239000,USD,239000,US,0,US,M
2024,SE,FT,Software Engineer,355000,USD,355000,US,0,US,M
2024,SE,FT,Machine Learning Researcher,160000,USD,160000,US,100,US,M
2024,MI,FT,Data Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Software Engineer,193000,USD,193000,US,100,US,M
2023,SE,FT,Data Engineer,225000,USD,225000,US,0,US,M
2024,SE,FT,Data Scientist,209720,USD,209720,US,0,US,M
2024,SE,FT,Data Scientist,136000,USD,136000,US,0,US,M
2024,SE,FT,Business Intelligence,100000,USD,100000,US,0,US,M
2024,SE,FT,Principal Application Delivery Consultant,242000,USD,242000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M
2024,MI,FT,Product Manager,225600,USD,225600,US,0,US,M
2023,SE,FT,Data Scientist,187200,USD,187200,US,100,US,M
2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2024,SE,FT,Engineer,127500,USD,127500,US,0,US,M
2024,SE,FT,Data Scientist,157000,USD,157000,US,0,US,M
2022,EN,FT,Software Development Engineer,14400,EUR,15129,RO,50,RO,L
2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
2024,EN,FT,Software Engineer,250000,USD,250000,US,0,US,M
2024,MI,FT,Data Scientist,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Scientist,257600,USD,257600,US,0,US,M
2024,MI,FT,Data Analyst,52900,USD,52900,US,0,US,M
2024,EN,FT,Research Analyst,90000,USD,90000,US,0,US,M
2024,EN,FT,Data Analyst,27000,GBP,33750,GB,0,GB,M
2024,SE,FT,Research Engineer,245000,USD,245000,US,0,US,M
2024,MI,FT,Data Scientist,166000,USD,166000,EG,0,EG,M
