experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
MI,FT,Data Scientist,111740,North America,0,North America,M
SE,FT,Data Scientist,115000,North America,100,North America,M
SE,FT,Machine Learning Engineer,112000,North America,0,North America,M
SE,FT,Machine Learning Engineer,194000,North America,100,North America,M
SE,FT,Data Scientist,187000,North America,0,North America,M
SE,FT,Data Scientist,210000,North America,0,North America,M
MI,FT,Data Scientist,75600,North America,0,North America,M
EN,FT,Machine Learning Engineer,237500,North America,0,North America,M
SE,FT,Data Scientist,199700,North America,0,North America,M
SE,FT,Data Engineer,236250,North America,0,North America,M
MI,FT,Data Engineer,265080,North America,0,North America,M
EN,FT,Data Analyst,122000,North America,0,North America,M
SE,FT,Data Analyst,192500,North America,100,North America,M
SE,FT,Data Engineer,149600,North America,0,North America,M
SE,FT,Machine Learning Engineer,175800,North America,0,North America,M
MI,FT,Machine Learning Engineer,93333,Europe,100,Europe,M
SE,FT,Research Scientist,240240,North America,0,North America,M
SE,FT,Manager,228000,North America,0,North America,M
SE,FT,Data Scientist,136000,North America,0,North America,M
MI,FT,Research Scientist,160000,North America,0,North America,M
EX,FT,Engineer,150000,North America,0,North America,M
SE,FT,Engineer,198000,North America,0,North America,M
MI,FT,Machine Learning Engineer,112000,North America,0,North America,M
EN,FT,Analyst,76250,North America,0,North America,M
SE,FT,Software Engineer,225600,North America,0,North America,M
EN,FT,Analyst,50000,North America,0,North America,M
SE,FT,Engineer,140000,North America,100,North America,M
EN,FT,Data Analyst,77000,North America,0,North America,M
MI,FT,Data Engineer,80000,North America,0,North America,M
SE,FT,Data Scientist,86000,North America,0,North America,M
SE,FT,Software Engineer,155650,North America,100,North America,M
MI,FT,Data Scientist,144660,North America,100,North America,M
MI,FT,Machine Learning Engineer,168000,North America,0,North America,M
MI,FT,Software Engineer,208800,North America,0,North America,M
SE,FT,Machine Learning Engineer,150000,North America,0,North America,M
MI,FT,Data Analyst,143800,North America,100,North America,M
MI,FT,Data Engineer,159250,North America,0,North America,M
EX,FT,Data Engineer,292500,North America,100,North America,M
MI,FT,Data Scientist,275000,North America,0,North America,M
MI,FT,Software Engineer,225000,North America,0,North America,M
SE,FT,Data Scientist,192000,North America,0,North America,M
MI,FT,Data Scientist,240000,North America,0,North America,M
MI,FT,Manager,166000,North America,0,North America,M
SE,FT,Data Scientist,289400,North America,100,North America,M
MI,FT,Data Scientist,172000,North America,0,North America,M
EN,FT,Data Analyst,45625,Europe,0,Europe,M
SE,FT,Software Engineer,276000,North America,0,North America,M
SE,FT,Research Scientist,200000,North America,100,North America,M
MI,FT,Data Engineer,138000,North America,0,North America,M
SE,FT,Engineer,180000,North America,0,North America,M
SE,FT,Research Scientist,250800,North America,0,North America,M
SE,FT,Data Engineer,144000,North America,0,North America,M
SE,FT,Data Scientist,180000,North America,0,North America,M
EN,FT,Data Analyst,50000,North America,0,North America,M
MI,FT,Software Engineer,210000,North America,0,North America,M
SE,FT,Data Engineer,167900,North America,0,North America,M
MI,FT,Software Engineer,136800,North America,0,North America,M
SE,FT,Machine Learning Engineer,135400,North America,0,North America,M
MI,FT,Data Analyst,70000,Europe,0,Europe,M
SE,FT,Data Architect,93838,North America,0,North America,M
SE,FT,Data Scientist,82600,North America,100,North America,M
SE,FT,Data Engineer,100192,North America,0,North America,M
EX,FT,Data Engineer,167000,North America,0,North America,M
SE,FT,Manager,305000,North America,0,North America,M
MI,FT,Data Engineer,106000,North America,0,North America,M
SE,FT,Data Architect,117000,North America,0,North America,M
SE,FT,Engineer,148000,North America,100,North America,M
SE,FT,Data Scientist,220000,North America,0,North America,M
EN,FT,Analyst,62548,Europe,0,Europe,M
EN,FT,Data Engineer,74100,North America,0,North America,M
SE,FT,Data Engineer,58200,South America,100,South America,M
SE,FT,Machine Learning Engineer,209800,North America,0,North America,M
SE,FT,Data Engineer,184920,North America,0,North America,M
SE,FT,Data Engineer,143706,North America,100,North America,M
SE,FT,Data Scientist,167537,North America,0,North America,M
SE,FT,Data Analyst,155000,North America,0,North America,M
SE,FT,Software Engineer,168000,North America,0,North America,M
EN,FT,Machine Learning Engineer,90000,North America,0,North America,M
SE,FT,Data Analyst,92900,North America,0,North America,M
SE,FT,Data Scientist,293800,North America,0,North America,M
