iter	MultiClass
0	1.383417244
1	1.380612624
2	1.37759904
3	1.374734558
4	1.37186034
5	1.368994095
6	1.366225069
7	1.363179199
8	1.359964894
9	1.356842034
10	1.353588343
11	1.350809216
12	1.347929438
13	1.34493379
14	1.342014763
15	1.339234966
16	1.336303771
17	1.333482716
18	1.330869905
19	1.328237991
20	1.325683038
21	1.323266957
22	1.320761478
23	1.318432146
24	1.315976462
25	1.313545788
26	1.311366897
27	1.309185783
28	1.307197615
29	1.30498331
30	1.302847218
31	1.300659705
32	1.298661492
33	1.296559166
34	1.294554182
35	1.292485674
36	1.290387549
37	1.288318509
38	1.28630821
39	1.284474454
40	1.282659763
41	1.28091437
42	1.279114781
43	1.277270127
44	1.275465146
45	1.273853607
46	1.272386077
47	1.270562717
48	1.2688048
49	1.267214614
50	1.26556872
51	1.264055504
52	1.262488855
53	1.260947203
54	1.25943962
55	1.258005016
56	1.256485175
57	1.25505327
58	1.2535506
59	1.252038011
60	1.250672279
61	1.249208145
62	1.247789644
63	1.24641189
64	1.245091522
65	1.243912878
66	1.242577617
67	1.241407257
68	1.240453264
69	1.239193806
70	1.237983065
71	1.236777234
72	1.235583869
73	1.234503818
74	1.233383313
75	1.232306286
76	1.231120323
77	1.23005774
78	1.228980197
79	1.22798218
80	1.226915218
81	1.22583905
82	1.22480891
83	1.223978992
84	1.223134773
85	1.222166552
86	1.221500471
87	1.220490751
88	1.219559067
89	1.218571856
90	1.217626936
91	1.21678346
92	1.215846424
93	1.215127685
94	1.214258451
95	1.213405214
96	1.212573421
97	1.211801831
98	1.210931636
99	1.210130557
100	1.209522897
101	1.208733355
102	1.207988041
103	1.207212128
104	1.206438849
105	1.205684078
106	1.205039697
107	1.204300368
108	1.203828237
109	1.203164277
110	1.202633502
111	1.201931377
112	1.201238906
113	1.200533675
114	1.199805193
115	1.199050145
116	1.198437985
117	1.197753444
118	1.197082514
119	1.19647051
120	1.195814166
121	1.195181047
122	1.1946139
123	1.193958256
124	1.193332256
125	1.192765428
126	1.192201459
127	1.191591974
128	1.190994185
129	1.19036779
130	1.18980586
131	1.18925621
132	1.188705707
133	1.188155862
134	1.187634211
135	1.187069804
136	1.186584926
137	1.186053395
138	1.185563947
139	1.185075934
140	1.184632961
141	1.184209618
142	1.18375421
143	1.183232663
144	1.18273775
145	1.18234457
146	1.18210393
147	1.181667739
148	1.181313171
149	1.180885548
150	1.180402643
151	1.180246245
152	1.17989623
153	1.179473287
154	1.179098507
155	1.17865343
156	1.178238481
157	1.177964707
158	1.177579197
159	1.177152096
160	1.176693106
161	1.176307231
162	1.175953441
163	1.175612697
164	1.175261176
165	1.174908644
166	1.17457837
167	1.174240358
168	1.173912295
169	1.173548866
170	1.173270329
171	1.172974926
172	1.172654897
173	1.172307208
174	1.171988325
175	1.171684429
176	1.171345674
177	1.171057894
178	1.170716427
179	1.170404275
180	1.170136565
181	1.169817412
182	1.169558913
183	1.169262587
184	1.169047611
185	1.168774936
186	1.168555561
187	1.168287148
188	1.167975408
189	1.167680847
190	1.167394802
191	1.167146129
192	1.166990417
193	1.166784453
194	1.166581837
195	1.166393934
196	1.166161612
197	1.165847723
198	1.165616935
199	1.165395746
200	1.165205778
201	1.165038105
202	1.16482229
203	1.164677854
204	1.164450286
205	1.16421711
206	1.164007206
207	1.163752816
208	1.163577511
209	1.163365302
210	1.163148903
211	1.163009016
212	1.16278051
213	1.162503508
214	1.162332667
215	1.162146502
216	1.161952595
217	1.161812742
218	1.161666996
219	1.161502867
220	1.161289558
221	1.161092685
222	1.160910221
223	1.160679767
224	1.160489305
225	1.160333569
226	1.160106837
227	1.159878681
228	1.159684062
229	1.159512608
230	1.159309995
231	1.159158644
232	1.158932554
233	1.158840971
234	1.15870302
235	1.158526257
236	1.158458166
237	1.158321174
238	1.158154957
239	1.158021786
240	1.157907557
241	1.157763732
242	1.157653182
243	1.157476137
244	1.157349126
245	1.15727387
246	1.157174656
247	1.157035123
248	1.156870247
249	1.156740275
250	1.156579489
251	1.156511963
252	1.156419552
253	1.156276827
254	1.156110461
255	1.15594747
256	1.155933026
257	1.155779348
258	1.155601257
259	1.155444849
260	1.155313398
261	1.155191425
262	1.155146414
263	1.155035979
264	1.154870206
265	1.154801334
266	1.154677538
267	1.154598709
268	1.154466926
269	1.154341554
270	1.154293936
271	1.154164596
272	1.154104691
273	1.154078344
274	1.153946596
275	1.153802545
276	1.153648275
277	1.153528118
278	1.153379048
279	1.153323669
280	1.153217711
281	1.153124378
282	1.153047377
283	1.152991531
284	1.152957405
285	1.152833682
286	1.152737495
287	1.152625016
288	1.152452259
289	1.152330938
290	1.152239936
291	1.152125855
292	1.152034349
293	1.151906
294	1.151826568
295	1.151745193
296	1.151617333
297	1.151576963
298	1.15145919
299	1.151406004
300	1.151228087
301	1.151092659
302	1.150992314
303	1.150919703
304	1.150878031
305	1.150766073
306	1.150649134
307	1.15054678
308	1.150483866
309	1.150398146
310	1.150345372
311	1.150184215
312	1.150087019
313	1.149975988
314	1.149895715
315	1.149837908
316	1.149732352
317	1.149661933
318	1.149586532
319	1.149460163
320	1.149409437
321	1.149316688
322	1.149290631
323	1.149253402
324	1.149151895
325	1.149052622
326	1.148948414
327	1.148868148
328	1.148792228
329	1.148769542
330	1.148706594
331	1.148623262
332	1.148539843
333	1.148467899
334	1.14839206
335	1.148298131
336	1.148175703
337	1.148125989
338	1.148029135
339	1.147948729
340	1.147901765
341	1.147833517
342	1.147782417
343	1.147724788
344	1.147666941
345	1.14761214
346	1.147569381
347	1.147497096
348	1.147431143
349	1.147402017
350	1.147258763
351	1.147174249
352	1.147120265
353	1.147098011
