iter	Passed	Remaining
0	59	7803
1	61	3990
2	63	2717
3	65	2084
4	67	1703
5	69	1449
6	70	1265
7	72	1128
8	74	1020
9	76	933
10	78	860
11	80	801
12	82	750
13	83	707
14	85	670
15	87	635
16	89	606
17	91	579
18	93	556
19	95	533
20	97	514
21	99	495
22	101	478
23	102	463
24	104	448
25	106	435
26	108	422
27	110	411
28	112	399
29	114	388
30	115	377
31	117	367
32	119	358
33	121	348
34	122	340
35	124	333
36	126	325
37	128	319
38	130	312
39	132	305
40	134	298
41	136	292
42	138	287
43	140	281
44	142	275
45	144	269
46	146	264
47	148	259
48	150	254
49	152	249
50	154	244
51	156	240
52	157	235
53	159	230
54	161	226
55	163	222
56	165	217
57	167	213
58	169	209
59	171	205
60	172	201
61	174	197
62	176	192
63	178	189
64	179	185
65	181	181
66	183	177
67	185	174
68	187	170
69	189	167
70	190	164
71	192	160
72	194	156
73	196	153
74	198	150
75	199	147
76	201	144
77	203	141
78	205	138
79	207	134
80	209	132
81	211	129
82	213	126
83	215	123
84	217	120
85	219	117
86	221	114
87	223	111
88	224	108
89	226	105
90	228	103
91	230	100
92	232	97
93	234	94
94	236	92
95	238	89
96	240	86
97	242	84
98	244	81
99	246	78
100	248	76
101	250	73
102	251	70
103	253	68
104	256	65
105	258	63
106	259	60
107	261	58
108	263	55
109	265	53
110	268	50
111	269	48
112	271	45
113	273	43
114	275	40
115	277	38
116	279	35
117	281	33
118	283	31
119	285	28
120	287	26
121	289	23
122	291	21
123	293	18
124	295	16
125	297	14
126	299	11
127	301	9
128	303	7
129	305	4
130	307	2
131	309	0
