iter	MultiClass
0	1.059562138
1	1.036853935
2	1.020466735
3	1.008773235
4	0.9989004721
5	0.9922024401
6	0.9861238105
7	0.9817788545
8	0.9781948205
9	0.9752332215
10	0.9736976937
11	0.9723391651
12	0.9711156852
13	0.9698606782
14	0.969125809
15	0.9675311905
16	0.967036673
17	0.9657724843
18	0.9653227993
19	0.965096711
20	0.9645862891
21	0.9641763229
22	0.9638755344
23	0.9637465065
24	0.9628846974
25	0.9626122993
26	0.9624447618
27	0.9619391913
28	0.9615636709
29	0.9613895326
30	0.9609832982
31	0.960642426
32	0.9604734582
33	0.9599883702
34	0.9596253605
35	0.959521564
36	0.9593850847
37	0.9593305348
38	0.95917484
39	0.958967834
40	0.9587971861
41	0.9586077607
42	0.9585530424
43	0.9581906199
44	0.9581130859
45	0.9579913846
46	0.9577549338
47	0.9576811605
48	0.9576130417
49	0.9575731952
50	0.9575380077
51	0.9574682174
52	0.9572814372
53	0.9570019466
54	0.9566585226
55	0.9564293893
56	0.956364179
57	0.9562044488
58	0.9560773511
59	0.9559591099
60	0.9559149548
61	0.9557936025
62	0.9557186613
63	0.9556750798
64	0.9556115786
65	0.955410496
66	0.9553266008
67	0.9552909619
68	0.9552330733
69	0.9551945301
70	0.955135488
71	0.9551027957
72	0.9550274134
73	0.9549566646
74	0.9549152851
75	0.954900593
76	0.9548360778
77	0.9547440088
78	0.954705739
79	0.9546655607
80	0.9546342284
81	0.9546005695
82	0.9545837999
83	0.954530913
84	0.9544647955
85	0.9544358018
86	0.9544031712
87	0.9543809343
88	0.9543446075
89	0.9543144122
90	0.9542583338
91	0.9542394321
92	0.9542189177
93	0.954206835
94	0.9541958476
95	0.9541190795
96	0.9540812643
97	0.9540071696
98	0.9539808805
99	0.9539552663
100	0.9538911488
101	0.9538434138
102	0.9537993606
103	0.9537470121
104	0.9537358953
105	0.953709895
106	0.9536871294
107	0.9536554526
108	0.9536371417
109	0.9536022858
110	0.9535670456
111	0.9535479436
112	0.9535125536
113	0.9535041837
114	0.9534928064
115	0.9534808466
116	0.9534307882
117	0.9534196225
118	0.9534011957
119	0.9533664181
120	0.9533523968
121	0.9533442473
122	0.9533318199
123	0.9533241483
124	0.9532887078
125	0.9532528938
126	0.9532332004
127	0.9531836653
128	0.9531608052
129	0.9531418789
130	0.9530701005
131	0.9530609124
132	0.9530275743
133	0.9530096257
134	0.9529828538
135	0.9529630351
136	0.9529169865
137	0.952886644
138	0.9528615094
139	0.9528411472
140	0.9528218898
141	0.952785521
142	0.9527696913
143	0.9527345527
144	0.9527040909
145	0.9526724124
146	0.9526505957
147	0.9526274454
148	0.9526089921
149	0.9525946248
150	0.9525834443
151	0.9525582497
152	0.9525472994
153	0.9525384048
154	0.952524898
155	0.9524809902
156	0.9524600679
157	0.9524402256
158	0.9524238168
159	0.9524147091
160	0.9524037737
161	0.9523942842
162	0.9523688986
163	0.9523519554
164	0.952343563
165	0.9523373382
166	0.9523184045
167	0.9523049471
168	0.9522770477
169	0.9522715056
170	0.9522610812
171	0.9522552761
172	0.9522297522
173	0.9522159063
174	0.9522151982
175	0.9521989848
176	0.9521920738
177	0.9521832404
178	0.952170546
179	0.9521467039
180	0.9521320323
181	0.9521218709
182	0.9521066109
183	0.952096779
184	0.9520932957
185	0.952066766
186	0.9520597367
187	0.9520461066
188	0.9520308555
189	0.9520091943
190	0.9520001749
191	0.9519923241
192	0.9519855518
193	0.9519795459
194	0.9519732643
195	0.951964088
196	0.9519527733
197	0.9519346378
198	0.9519220435
199	0.9519022256
200	0.9518962189
201	0.9518877001
202	0.951885838
203	0.951850264
204	0.9518401899
205	0.951829024
206	0.9518132159
207	0.9518070805
208	0.9518008485
209	0.9517963236
210	0.9517833168
211	0.9517810465
212	0.9517759314
213	0.9517650924
214	0.9517610014
215	0.9517553054
216	0.951754016
217	0.9517528014
218	0.9517404783
219	0.9517276694
220	0.9517108096
221	0.951703583
222	0.9516897286
223	0.9516765866
224	0.9516619066
225	0.951650878
226	0.9516330404
227	0.9516305323
228	0.9516166042
229	0.9516103743
