iter	RMSE
0	66179.65527
1	65610.68423
2	65100.76974
3	64660.82032
4	64203.46003
5	63769.38508
6	63365.43341
7	62981.99684
8	62645.72313
9	62311.35897
10	61999.84483
11	61728.91728
12	61432.4914
13	61173.76385
14	60945.66181
15	60762.75998
16	60542.60977
17	60390.04776
18	60188.88603
19	59985.28537
20	59830.72235
21	59699.48563
22	59547.28091
23	59423.82332
24	59290.57393
25	59190.51564
26	59085.46728
27	58972.53325
28	58866.58496
29	58777.62242
30	58688.51848
31	58601.44941
32	58529.35601
33	58458.51194
34	58388.56515
35	58334.31961
36	58281.04077
37	58225.73585
38	58177.62396
39	58126.24278
40	58081.83913
41	58045.26244
42	58009.57995
43	57974.10447
44	57935.71333
45	57886.78284
46	57844.73507
47	57812.16261
48	57780.70769
49	57761.2111
50	57727.5213
51	57702.53947
52	57678.57584
53	57653.68736
54	57634.2462
55	57614.52315
56	57596.78832
57	57576.58631
58	57558.326
59	57539.91984
60	57516.84276
61	57506.06485
62	57493.05954
63	57476.41209
64	57466.28883
65	57455.00832
66	57445.63266
67	57427.38139
68	57423.57864
69	57412.91888
70	57402.87928
71	57393.54014
72	57380.84978
73	57371.79891
74	57360.47961
75	57349.6133
76	57337.3673
77	57328.17885
78	57315.76024
79	57308.23629
80	57300.86296
81	57295.49547
82	57287.37476
83	57279.3477
84	57271.91221
85	57265.47375
86	57258.84087
87	57251.03497
88	57247.10154
89	57239.38789
90	57236.82869
91	57233.08036
92	57228.9121
93	57224.85007
94	57221.98715
95	57218.77024
96	57214.13556
97	57208.75726
98	57202.66547
99	57196.73699
100	57192.50699
101	57188.25784
102	57177.66384
103	57174.22164
104	57168.90534
105	57166.1577
106	57163.38412
107	57159.47776
108	57157.70629
109	57153.17225
110	57151.21629
111	57150.58334
112	57147.58371
113	57144.43393
114	57144.41897
115	57143.0621
116	57141.71368
117	57138.38576
118	57137.27856
119	57136.21266
120	57133.42218
121	57132.21648
122	57129.19838
123	57126.81407
124	57120.61724
125	57119.04694
126	57113.86276
127	57111.98313
128	57111.98309
129	57110.69816
130	57109.78399
131	57108.73916
132	57105.59854
133	57103.00672
134	57101.98295
135	57099.57481
136	57098.63872
137	57094.81813
138	57093.85296
139	57092.83965
140	57092.24098
141	57090.32623
142	57088.34763
143	57086.86119
144	57084.89879
145	57084.04023
146	57081.72228
147	57079.38014
148	57073.83002
149	57071.91717
150	57069.24889
151	57067.90709
152	57064.24379
153	57063.29594
154	57061.90657
155	57061.35854
156	57061.20075
157	57059.42724
158	57058.70667
159	57057.2795
160	57055.99565
161	57055.06166
162	57054.08482
163	57049.52529
164	57048.05264
165	57047.20873
166	57043.88909
167	57043.52239
168	57041.97902
169	57041.23942
170	57035.33526
171	57033.34788
172	57031.68053
173	57029.83859
174	57027.65065
175	57026.39856
176	57022.61996
177	57021.45177
178	57019.34429
179	57017.96352
180	57015.86512
181	57015.32019
182	57014.246
183	57012.82146
184	57011.79958
185	57010.53997
186	57010.30204
187	57007.90611
188	57004.36068
189	57002.78601
190	57001.99129
191	56998.92458
192	56997.11427
193	56997.11427
194	56991.69725
195	56989.61632
196	56989.09052
197	56988.38458
198	56985.91147
199	56981.45271
200	56978.15285
201	56975.21567
202	56972.3849
203	56972.2637
204	56971.48822
205	56968.03038
206	56964.46009
207	56961.63387
208	56960.26534
209	56957.27593
210	56956.17082
211	56955.30703
212	56953.99994
213	56953.2083
214	56949.32545
215	56947.23831
216	56944.47412
217	56942.97145
218	56939.24964
219	56938.08985
220	56936.37023
221	56935.9748
222	56935.21047
223	56934.51174
224	56933.65042
225	56931.28845
226	56931.19073
227	56928.74246
228	56927.88971
229	56927.25087
230	56924.95359
231	56924.17991
232	56923.11213
233	56920.79551
234	56917.61942
235	56916.10309
236	56914.35516
237	56913.57746
238	56910.45901
239	56909.7587
240	56906.8097
241	56905.21952
242	56903.91836
243	56903.22111
244	56902.36997
245	56900.21089
246	56896.69641
247	56894.5239
248	56894.19131
249	56890.5534
250	56890.42764
251	56887.97292
252	56887.34974
253	56885.24602
254	56884.8064
255	56884.0668
256	56881.07837
257	56880.66718
258	56880.24425
259	56877.60356
260	56874.97241
261	56872.50132
262	56871.27768
263	56870.62631
264	56869.85869
265	56869.30671
266	56866.75215
267	56866.42966
268	56864.00513
269	56862.91695
270	56862.42737
271	56862.23133
272	56860.81338
273	56859.20831
274	56858.39494
275	56856.66677
276	56855.38863
277	56854.7854
278	56854.4231
279	56852.97314
280	56850.47502
281	56849.28196
282	56848.87297
283	56846.50142
284	56845.3234
285	56845.17063
286	56842.99226
287	56840.78526
288	56838.06291
289	56837.6823
290	56837.09376
291	56836.2641
292	56835.7178
293	56833.58778
294	56832.28431
295	56831.99226
296	56830.30631
297	56830.01771
298	56828.54588
299	56827.00295
300	56826.59981
301	56825.85686
302	56823.54824
303	56821.15552
304	56820.66569
305	56818.06903
306	56816.94958
307	56813.72891
308	56813.13621
309	56811.09277
310	56810.13027
311	56808.69142
312	56808.47739
313	56808.06522
314	56807.13255
315	56806.23206
