iter	Passed	Remaining
0	4	1546
1	7	1209
2	10	1047
3	12	943
4	14	883
5	16	834
6	18	832
7	20	800
8	22	776
9	24	759
10	27	757
11	29	744
12	31	729
13	33	716
14	35	711
15	37	709
16	39	698
17	41	691
18	43	684
19	45	675
20	47	667
21	50	671
22	52	664
23	53	655
24	55	647
25	57	642
26	60	643
27	62	643
28	65	643
29	67	640
30	68	634
31	70	626
32	72	620
33	74	615
34	76	612
35	78	608
36	80	605
37	82	602
38	84	597
39	86	595
40	88	590
41	89	585
42	92	587
43	94	586
44	97	588
45	100	588
46	102	587
47	104	582
48	107	584
49	109	582
50	111	580
51	114	579
52	117	585
53	120	584
54	122	583
55	125	583
56	127	579
57	129	575
58	131	572
59	134	572
60	135	568
61	137	564
62	139	561
63	142	559
64	144	558
65	147	558
66	149	554
67	151	551
68	152	546
69	154	543
70	156	538
71	157	533
72	159	530
73	161	528
74	163	525
75	165	522
76	167	519
77	168	515
78	171	515
79	174	515
80	178	518
81	180	516
82	183	514
83	185	511
84	187	509
85	189	507
86	192	505
87	194	502
88	196	500
89	198	497
90	199	493
91	202	492
92	204	489
93	206	488
94	209	486
95	211	484
96	213	482
97	216	481
98	218	479
99	220	476
100	222	472
101	224	470
102	225	467
103	227	464
104	230	462
105	231	459
106	233	457
107	236	455
108	238	453
109	240	450
110	242	447
111	244	445
112	246	443
113	248	441
114	250	437
115	252	435
116	254	432
117	256	430
118	258	427
119	259	424
120	261	421
121	262	418
122	265	416
123	267	414
124	268	410
125	270	408
126	272	405
127	274	403
128	275	399
129	277	397
130	278	393
131	280	391
132	282	388
133	284	386
134	286	383
135	288	381
136	290	378
137	291	376
138	293	373
139	295	371
140	297	369
141	299	367
142	302	365
143	304	363
144	306	360
145	308	358
146	310	356
147	311	354
148	314	352
149	316	349
150	318	347
151	320	345
152	322	343
153	324	341
154	326	338
155	327	335
156	329	333
157	331	331
158	333	329
159	334	326
160	336	323
161	338	321
162	340	319
163	342	317
164	344	315
165	346	313
166	349	311
167	350	308
168	352	306
169	354	304
170	356	302
171	358	300
172	360	297
173	362	295
174	364	293
175	366	291
176	368	289
177	370	287
178	372	285
179	374	283
180	376	281
181	378	279
182	381	277
183	383	275
184	385	273
185	387	270
186	389	268
187	391	266
188	393	264
189	395	262
190	397	260
191	399	257
192	400	255
193	401	252
194	403	250
195	405	248
196	408	246
197	411	245
198	414	243
199	417	242
200	420	240
201	423	239
202	425	236
203	426	234
204	429	232
205	431	230
206	433	228
207	435	226
208	437	223
209	439	221
210	441	219
211	444	217
212	446	215
213	448	213
214	450	211
215	451	209
216	454	207
217	457	205
218	458	203
219	461	201
220	463	199
221	464	196
222	466	194
223	468	192
224	470	190
225	472	188
226	473	185
227	475	183
228	477	181
229	479	179
230	480	176
231	483	174
232	485	172
233	486	170
234	488	168
235	490	166
236	492	164
237	495	162
238	497	160
239	498	157
240	500	155
241	502	153
242	504	151
243	506	149
244	508	147
245	510	145
246	512	143
247	514	141
248	516	138
249	518	136
250	519	134
251	521	132
252	524	130
253	525	128
254	527	126
255	529	124
256	531	121
257	533	119
258	535	117
259	537	115
260	540	113
261	542	111
262	544	109
263	546	107
264	548	105
265	550	103
266	552	101
267	554	99
268	555	97
269	558	95
270	559	92
271	561	90
272	563	88
273	565	86
274	567	84
275	570	82
276	572	80
277	573	78
278	575	76
279	577	74
280	579	72
281	581	70
282	584	68
283	586	66
284	588	64
285	590	61
286	593	59
287	595	57
288	597	55
289	600	53
290	602	51
291	603	49
292	605	47
293	607	45
294	609	43
295	611	41
296	613	39
297	615	37
298	617	35
299	618	33
300	620	30
301	622	28
302	624	26
303	626	24
304	628	22
305	630	20
306	632	18
307	634	16
308	636	14
309	638	12
310	640	10
311	642	8
312	644	6
313	646	4
314	648	2
315	650	0
