iter	RMSE
0	65880.37787
1	64835.1769
2	63936.79312
3	63164.66848
4	62507.59576
5	61908.23928
6	61373.7803
7	60925.6734
8	60470.40045
9	60062.41284
10	59718.5011
11	59464.8568
12	59215.03089
13	59028.54888
14	58845.53896
15	58673.91708
16	58498.63729
17	58347.75194
18	58229.0558
19	58116.19045
20	58007.26591
21	57922.95885
22	57845.14488
23	57772.75955
24	57699.40781
25	57645.48363
26	57597.51861
27	57554.64517
28	57520.8536
29	57489.81162
30	57455.12303
31	57418.6411
32	57390.30204
33	57364.56914
34	57342.11849
35	57324.5149
36	57304.35852
37	57286.56576
38	57264.58547
39	57247.78879
40	57231.48675
41	57217.70349
42	57205.00991
43	57194.34719
44	57179.24412
45	57169.96791
46	57158.32512
47	57156.00498
48	57145.18678
49	57138.52749
50	57135.51834
51	57126.92616
52	57122.79468
53	57116.52791
54	57111.96696
55	57098.49522
56	57089.89609
57	57079.44301
58	57076.70048
59	57072.48503
60	57070.74045
61	57063.94243
62	57052.50159
63	57049.89845
64	57049.63565
65	57046.8581
66	57045.90312
67	57040.19446
68	57031.47398
69	57026.26603
70	57022.35055
71	57020.98039
72	57017.43546
73	57015.67196
74	57014.73669
75	57010.79501
76	57008.94916
77	57006.05574
78	57002.78928
79	56998.13973
80	56988.2919
81	56986.1205
82	56981.06559
83	56977.42072
84	56972.09669
85	56966.8025
86	56963.07807
87	56963.07807
88	56961.33833
89	56959.19246
90	56957.17336
91	56953.82929
92	56952.04852
93	56945.86953
94	56942.3566
95	56940.42795
96	56940.10441
97	56937.82371
98	56935.07543
99	56933.47747
100	56931.95282
101	56929.56216
102	56927.44257
103	56926.31987
104	56925.47859
105	56923.57287
106	56917.95401
107	56916.76454
108	56915.58023
109	56911.4845
110	56909.52419
111	56908.1353
112	56907.9875
113	56904.97065
114	56902.20286
115	56896.76321
116	56895.29044
117	56891.82793
118	56890.83133
119	56888.03557
120	56887.18915
121	56883.05739
122	56882.84653
123	56881.51226
124	56873.75762
125	56871.86581
126	56871.55157
127	56870.3462
128	56865.34973
129	56865.00875
130	56862.39925
131	56857.89783
132	56852.51667
133	56850.58302
134	56849.85925
135	56848.72176
136	56847.47981
137	56846.44865
138	56846.04575
139	56842.07253
140	56834.19644
141	56833.6408
142	56830.2206
143	56823.09159
144	56822.16983
145	56820.97111
146	56818.73931
147	56815.55218
148	56812.43953
149	56812.01399
150	56811.44692
151	56810.24916
152	56809.35638
153	56807.34099
154	56804.61102
155	56802.10464
156	56797.75018
157	56792.67309
158	56791.7737
159	56788.31594
160	56787.20817
161	56785.73443
162	56783.12845
163	56782.44262
164	56779.98715
165	56775.31573
166	56773.939
167	56771.19379
168	56770.55216
169	56769.28251
170	56767.77301
171	56766.07693
172	56764.83761
173	56760.03308
174	56759.80615
175	56756.93905
176	56752.75302
177	56752.24988
178	56751.49397
179	56749.92574
180	56747.20546
181	56746.251
182	56746.11055
183	56745.11827
184	56744.30048
185	56743.00738
186	56741.83132
187	56739.48775
188	56736.99281
189	56733.34202
190	56731.98462
191	56731.87275
192	56731.50791
193	56730.39876
194	56730.23692
195	56729.62254
196	56726.40806
197	56726.30543
198	56725.46531
199	56724.62749
200	56722.45465
201	56717.82642
202	56717.72088
203	56716.0392
204	56715.28064
205	56713.60887
206	56711.04281
207	56709.83672
208	56709.5216
209	56707.27416
210	56705.75858
211	56705.67687
212	56704.48578
213	56703.53078
214	56702.19182
215	56701.61889
216	56701.00721
217	56698.96648
218	56698.3973
219	56697.70078
220	56695.72218
221	56693.56047
222	56689.05595
223	56680.84992
224	56679.70582
225	56678.39726
226	56677.55409
227	56677.15807
228	56676.53121
229	56674.67848
