iter	Passed	Remaining
0	2	599
1	3	453
2	5	397
3	6	374
4	7	344
5	8	321
6	9	307
7	10	294
8	11	288
9	12	284
10	14	282
11	15	278
12	16	272
13	17	268
14	18	263
15	19	258
16	20	252
17	21	249
18	22	247
19	23	244
20	24	244
21	25	242
22	26	240
23	27	239
24	29	238
25	30	236
26	31	233
27	32	232
28	33	231
29	34	229
30	35	227
31	36	226
32	37	224
33	40	230
34	40	227
35	42	226
36	43	228
37	44	226
38	46	225
39	47	223
40	48	221
41	49	219
42	50	218
43	51	216
44	52	215
45	53	214
46	54	212
47	55	211
48	56	209
49	57	207
50	58	206
51	59	204
52	61	204
53	62	203
54	64	203
55	65	202
56	66	200
57	67	199
58	68	197
59	69	196
60	70	195
61	71	194
62	72	193
63	74	192
64	74	189
65	75	188
66	76	186
67	77	185
68	78	183
69	79	182
70	80	180
71	81	179
72	82	178
73	84	177
74	85	175
75	86	174
76	87	173
77	88	172
78	89	170
79	90	169
80	91	168
81	92	167
82	93	165
83	94	164
84	95	162
85	96	161
86	97	160
87	98	158
88	99	156
89	99	155
90	101	154
91	101	152
92	102	151
93	104	150
94	104	149
95	105	147
96	106	146
97	107	144
98	108	143
99	109	142
100	110	141
101	113	142
102	114	141
103	115	140
104	116	138
105	117	137
106	118	136
107	119	135
108	121	134
109	122	133
110	123	132
111	124	131
112	125	130
113	126	129
114	127	127
115	129	126
116	130	126
117	131	125
118	132	123
119	133	122
120	134	121
121	136	120
122	136	119
123	138	117
124	139	116
125	140	115
126	141	114
127	142	113
128	143	112
129	144	111
130	145	109
131	146	108
132	147	107
133	148	106
134	149	105
135	150	104
136	151	102
137	152	101
138	153	100
139	154	99
140	155	98
141	156	97
142	157	96
143	158	94
144	159	93
145	160	92
146	161	91
147	162	90
148	163	89
149	164	87
150	165	86
151	166	85
152	167	84
153	168	83
154	169	81
155	170	80
156	171	79
157	172	78
158	173	77
159	174	76
160	175	75
161	176	74
162	177	72
163	178	71
164	179	70
165	180	69
166	181	68
167	182	67
168	183	66
169	184	65
170	185	63
171	186	62
172	187	61
173	188	60
174	189	59
175	190	58
176	191	57
177	192	56
178	193	55
179	194	54
180	195	52
181	196	51
182	197	50
183	199	49
184	200	48
185	201	47
186	202	46
187	203	45
188	204	44
189	205	43
190	206	42
191	207	41
192	208	40
193	209	38
194	211	37
195	212	36
196	213	35
197	214	34
198	215	33
199	216	32
200	217	31
201	218	30
202	220	29
203	221	28
204	222	27
205	223	26
206	224	24
207	225	23
208	226	22
209	227	21
210	228	20
211	229	19
212	230	18
213	231	17
214	232	16
215	233	15
216	234	14
217	235	12
218	236	11
219	237	10
220	238	9
221	239	8
222	240	7
223	241	6
224	243	5
225	244	4
226	245	3
227	246	2
228	247	1
229	248	0
