iter	MultiClass
0	2.293565761
1	2.28589847
2	2.278600218
3	2.27233825
4	2.265981452
5	2.260226414
6	2.255325071
7	2.250602383
8	2.246788359
9	2.243157373
10	2.238486202
11	2.235311961
12	2.232256722
13	2.228261791
14	2.225088871
15	2.22146063
16	2.218541988
17	2.215761017
18	2.212314152
19	2.209330424
20	2.205930616
21	2.203315361
22	2.200721287
23	2.198072876
24	2.195906369
25	2.193438831
26	2.191281688
27	2.189828246
28	2.187555137
29	2.185297353
30	2.183654424
31	2.182155918
32	2.180251761
33	2.178773128
34	2.176928739
35	2.175178836
36	2.17395733
37	2.172332411
38	2.17089138
39	2.169925587
40	2.168913295
41	2.168291313
42	2.1670613
43	2.166260903
44	2.165650566
45	2.164713452
46	2.163850634
47	2.163043141
48	2.161805292
49	2.161091174
50	2.160246745
51	2.159705459
52	2.1588496
53	2.158139921
54	2.157297312
55	2.156799924
56	2.15615203
57	2.155503924
58	2.154763363
59	2.154097808
60	2.153389293
61	2.152685024
62	2.151981533
63	2.151292113
64	2.151003751
65	2.15070586
66	2.150325381
67	2.149702805
68	2.14887195
69	2.148331272
70	2.147897909
71	2.14752464
72	2.147217373
73	2.146658117
74	2.14630148
75	2.145870577
76	2.145141249
77	2.144621958
78	2.144021748
79	2.143513361
80	2.14299081
81	2.142626331
82	2.142093643
83	2.141736821
84	2.14118928
85	2.140738668
86	2.140418454
87	2.140244486
88	2.139619079
89	2.139391805
90	2.138968826
91	2.138713178
92	2.138109987
93	2.137812263
94	2.13762917
95	2.137298404
96	2.13699194
97	2.136623199
98	2.13649379
99	2.136279437
100	2.135890656
101	2.135462068
102	2.135214476
103	2.135029938
104	2.134913921
105	2.134667706
106	2.134318773
107	2.134025428
108	2.133857848
109	2.133595418
110	2.133526178
111	2.133263914
112	2.133076565
113	2.132951541
114	2.132771509
115	2.132376668
116	2.13227236
117	2.132035337
118	2.131937089
119	2.131632957
120	2.131260062
121	2.131013738
122	2.130820227
123	2.130540832
124	2.130491525
125	2.130289447
126	2.130193805
127	2.130064723
128	2.129925308
129	2.129790984
130	2.12955461
131	2.129409674
132	2.129086986
133	2.128847654
134	2.128727306
135	2.128395957
136	2.128088441
137	2.128035519
138	2.127964773
139	2.127733967
140	2.127543529
141	2.127403295
142	2.127123756
143	2.126988716
144	2.126822746
145	2.12662263
146	2.126404565
147	2.126325167
148	2.126208404
149	2.126058941
150	2.125993723
151	2.12581609
152	2.125634019
153	2.125564092
154	2.125392906
155	2.125260573
156	2.12514301
157	2.125066316
158	2.124974106
159	2.124830312
160	2.124805764
161	2.124481335
162	2.124378263
163	2.124197503
164	2.124103511
165	2.12398051
166	2.12390081
167	2.123657158
168	2.123537532
169	2.123489227
170	2.123430662
171	2.123289007
172	2.123001966
173	2.122839708
174	2.12275903
175	2.122661519
176	2.122570591
177	2.122516506
178	2.12236881
179	2.122132321
180	2.121891371
181	2.121775099
182	2.12153843
183	2.121514728
184	2.121457562
185	2.121223553
186	2.121129701
187	2.120963125
188	2.120864671
189	2.120853539
190	2.120774465
191	2.120684389
192	2.120552242
193	2.120410895
194	2.120346789
195	2.120272667
196	2.120221587
197	2.120153631
198	2.120003028
199	2.119922951
200	2.11985262
201	2.119781115
202	2.119719212
203	2.119618965
204	2.119575596
205	2.119517586
206	2.119470182
207	2.119260816
208	2.119190344
209	2.11916117
210	2.118946268
211	2.118922763
212	2.118819222
213	2.118752636
214	2.118742344
215	2.118696185
216	2.118632296
217	2.118551651
218	2.118499015
219	2.118421469
220	2.118336002
221	2.118262215
222	2.118177352
223	2.118106603
224	2.118024508
225	2.117990846
226	2.117921931
227	2.11783227
228	2.117762524
229	2.117737327
230	2.117665961
231	2.117589007
232	2.117517928
233	2.117449849
234	2.117382613
235	2.117360212
236	2.117094384
237	2.117035561
238	2.116823644
239	2.116759436
240	2.116681634
241	2.116653066
242	2.116596639
243	2.116432069
244	2.116347447
245	2.116275181
246	2.116234634
247	2.116070357
248	2.115926422
249	2.115853578
250	2.115693457
251	2.115662254
252	2.115615852
253	2.11556084
254	2.115440435
255	2.115378626
