iter	Passed	Remaining
0	58	14962
1	61	7815
2	64	5407
3	66	4198
4	69	3504
5	72	3030
6	75	2694
7	79	2450
8	81	2240
9	84	2078
10	87	1938
11	89	1819
12	92	1730
13	95	1642
14	97	1571
15	101	1515
16	103	1460
17	106	1409
18	109	1361
19	111	1318
20	114	1279
21	116	1242
22	119	1209
23	122	1182
24	125	1163
25	128	1138
26	131	1114
27	134	1092
28	136	1070
29	139	1052
30	142	1031
31	145	1015
32	148	1002
33	151	989
34	154	976
35	157	960
36	159	944
37	161	929
38	164	917
39	167	903
40	169	890
41	172	879
42	175	870
43	178	859
44	180	847
45	183	838
46	186	828
47	189	819
48	192	811
49	195	803
50	197	795
51	203	800
52	206	790
53	209	782
54	211	774
55	214	765
56	216	757
57	219	749
58	221	741
59	224	733
60	227	725
61	229	718
62	232	711
63	235	706
64	237	698
65	240	691
66	242	685
67	246	680
68	248	674
69	251	667
70	253	661
71	256	655
72	258	649
73	261	642
74	263	636
75	266	631
76	269	625
77	271	620
78	274	616
79	277	611
80	280	606
81	283	600
82	285	595
83	288	590
84	291	586
85	294	581
86	297	577
87	299	572
88	302	567
89	304	561
90	307	556
91	309	552
92	312	547
93	314	542
94	317	537
95	320	533
96	322	528
97	325	524
98	327	519
99	330	515
100	332	510
101	335	506
102	337	501
103	339	496
104	342	491
105	344	488
106	347	484
107	350	480
108	353	476
109	355	472
110	358	467
111	361	464
112	363	459
113	365	455
114	368	451
115	370	447
116	372	443
117	375	438
118	377	434
119	380	430
120	382	426
121	384	422
122	387	418
123	390	415
124	392	411
125	394	407
126	397	403
127	400	400
128	403	396
129	405	393
130	408	389
131	410	385
132	413	382
133	416	378
134	418	375
135	421	371
136	424	368
137	426	364
138	429	361
139	431	357
140	434	354
141	436	350
142	439	347
143	442	343
144	444	340
145	446	336
146	449	333
147	453	330
148	455	326
149	457	323
150	459	319
151	462	316
152	465	313
153	467	309
154	470	306
155	473	303
156	475	299
157	477	296
158	480	293
159	483	290
160	486	286
161	489	283
162	491	280
163	494	277
164	496	273
165	499	270
166	501	267
167	503	263
168	506	260
169	509	257
170	511	254
171	514	251
172	516	247
173	519	244
174	521	241
175	524	238
176	527	235
177	530	232
178	532	229
179	535	226
180	537	222
181	540	219
182	542	216
183	545	213
184	548	210
185	550	207
186	553	204
187	556	201
188	559	198
189	561	194
190	563	191
191	566	188
192	568	185
193	571	182
194	573	179
195	575	176
196	577	173
197	580	169
198	583	167
199	585	163
200	587	160
201	590	157
202	592	154
203	595	151
204	597	148
205	599	145
206	601	142
207	604	139
208	606	136
209	609	133
210	612	130
211	614	127
212	617	124
213	619	121
214	621	118
215	623	115
216	625	112
217	628	109
218	630	106
219	632	103
220	635	100
221	637	97
222	640	94
223	642	91
224	645	88
225	647	85
226	649	82
227	651	80
228	654	77
229	656	74
230	659	71
231	661	68
232	664	65
233	666	62
234	669	59
235	671	56
236	673	54
237	676	51
238	678	48
239	681	45
240	684	42
241	687	39
242	690	36
243	692	34
244	695	31
245	698	28
246	700	25
247	703	22
248	706	19
249	708	16
250	710	14
251	713	11
252	715	8
253	718	5
254	720	2
255	723	0
